[INFO] [1634231016.947907, 24.602000]: Target position: x-> 2, y-> 1.5!!
[INFO] [1634231016.949389, 24.604000]: Number of targets 8 / distance to curent goal 2.97 / collission number 0
[INFO] [1634231016.999332, 24.637000]: Number of targets 8 / distance to curent goal 2.97 / collission number 0
[INFO] [1634231017.257996, 24.833000]: Number of targets 8 / distance to curent goal 2.99 / collission number 0
[ INFO] [1634231017.375308376, 24.918000000]: Got new plan
[INFO] [1634231017.530736, 25.037000]: Number of targets 8 / distance to curent goal 3.02 / collission number 0
[INFO] [1634231017.782738, 25.234000]: Number of targets 8 / distance to curent goal 3.03 / collission number 0
[INFO] [1634231018.037100, 25.434000]: Number of targets 8 / distance to curent goal 3.03 / collission number 0
[INFO] [1634231018.307752, 25.632000]: Number of targets 8 / distance to curent goal 3.01 / collission number 0
[INFO] [1634231018.565458, 25.838000]: Number of targets 8 / distance to curent goal 2.96 / collission number 0
[INFO] [1634231018.822266, 26.045000]: Number of targets 8 / distance to curent goal 2.93 / collission number 0
[INFO] [1634231019.076854, 26.238000]: Number of targets 8 / distance to curent goal 2.89 / collission number 0
[INFO] [1634231019.336073, 26.436000]: Number of targets 8 / distance to curent goal 2.85 / collission number 0
[INFO] [1634231019.577110, 26.633000]: Number of targets 8 / distance to curent goal 2.82 / collission number 0
[INFO] [1634231019.843538, 26.838000]: Number of targets 8 / distance to curent goal 2.78 / collission number 0
[INFO] [1634231020.097700, 27.032000]: Number of targets 8 / distance to curent goal 2.74 / collission number 0
[INFO] [1634231020.355583, 27.238000]: Number of targets 8 / distance to curent goal 2.71 / collission number 0
[INFO] [1634231020.614142, 27.437000]: Number of targets 8 / distance to curent goal 2.69 / collission number 0
[INFO] [1634231020.870235, 27.641000]: Number of targets 8 / distance to curent goal 2.66 / collission number 0
[INFO] [1634231021.112413, 27.834000]: Number of targets 8 / distance to curent goal 2.62 / collission number 0
[INFO] [1634231021.368049, 28.037000]: Number of targets 8 / distance to curent goal 2.6 / collission number 0
[INFO] [1634231021.616821, 28.232000]: Number of targets 8 / distance to curent goal 2.57 / collission number 0
[INFO] [1634231021.880150, 28.442000]: Number of targets 8 / distance to curent goal 2.55 / collission number 0
[INFO] [1634231022.151882, 28.645000]: Number of targets 8 / distance to curent goal 2.53 / collission number 0
[INFO] [1634231022.420108, 28.836000]: Number of targets 8 / distance to curent goal 2.52 / collission number 0
[INFO] [1634231022.694694, 29.042000]: Number of targets 8 / distance to curent goal 2.49 / collission number 0
[INFO] [1634231022.951764, 29.238000]: Number of targets 8 / distance to curent goal 2.48 / collission number 0
[INFO] [1634231023.223606, 29.440000]: Number of targets 8 / distance to curent goal 2.46 / collission number 0
[INFO] [1634231023.492994, 29.636000]: Number of targets 8 / distance to curent goal 2.45 / collission number 0
[INFO] [1634231023.764056, 29.843000]: Number of targets 8 / distance to curent goal 2.45 / collission number 0
[INFO] [1634231024.038316, 30.041000]: Number of targets 8 / distance to curent goal 2.46 / collission number 0
[INFO] [1634231024.286502, 30.234000]: Number of targets 8 / distance to curent goal 2.48 / collission number 0
[INFO] [1634231024.560222, 30.438000]: Number of targets 8 / distance to curent goal 2.5 / collission number 0
[INFO] [1634231024.813574, 30.634000]: Number of targets 8 / distance to curent goal 2.51 / collission number 0
[INFO] [1634231025.079545, 30.840000]: Number of targets 8 / distance to curent goal 2.52 / collission number 0
[INFO] [1634231025.349569, 31.041000]: Number of targets 8 / distance to curent goal 2.51 / collission number 0
[INFO] [1634231025.875471, 31.440000]: Number of targets 8 / distance to curent goal 2.48 / collission number 0
[INFO] [1634231026.126997, 31.638000]: Number of targets 8 / distance to curent goal 2.48 / collission number 0
[INFO] [1634231026.407825, 31.837000]: Number of targets 8 / distance to curent goal 2.49 / collission number 0
[INFO] [1634231026.675632, 32.036000]: Number of targets 8 / distance to curent goal 2.5 / collission number 0
[INFO] [1634231026.950677, 32.238000]: Number of targets 8 / distance to curent goal 2.52 / collission number 0
[INFO] [1634231027.223809, 32.441000]: Number of targets 8 / distance to curent goal 2.54 / collission number 0
[INFO] [1634231027.506679, 32.634000]: Number of targets 8 / distance to curent goal 2.55 / collission number 0
[INFO] [1634231027.782041, 32.847000]: Number of targets 8 / distance to curent goal 2.55 / collission number 0
[INFO] [1634231028.037126, 33.039000]: Number of targets 8 / distance to curent goal 2.55 / collission number 0
[INFO] [1634231028.293945, 33.235000]: Number of targets 8 / distance to curent goal 2.56 / collission number 0
[INFO] [1634231028.565376, 33.444000]: Number of targets 8 / distance to curent goal 2.56 / collission number 0
[INFO] [1634231028.819386, 33.635000]: Number of targets 8 / distance to curent goal 2.55 / collission number 0
[INFO] [1634231029.094982, 33.843000]: Number of targets 8 / distance to curent goal 2.55 / collission number 0
[INFO] [1634231029.356121, 34.034000]: Number of targets 8 / distance to curent goal 2.55 / collission number 0
[INFO] [1634231029.637141, 34.244000]: Number of targets 8 / distance to curent goal 2.55 / collission number 0
[INFO] [1634231029.878503, 34.441000]: Number of targets 8 / distance to curent goal 2.55 / collission number 0
[INFO] [1634231030.145154, 34.640000]: Number of targets 8 / distance to curent goal 2.55 / collission number 0
[INFO] [1634231030.409012, 34.843000]: Number of targets 8 / distance to curent goal 2.55 / collission number 0
[INFO] [1634231030.664413, 35.035000]: Number of targets 8 / distance to curent goal 2.55 / collission number 0
[INFO] [1634231030.931551, 35.237000]: Number of targets 8 / distance to curent goal 2.55 / collission number 0
[INFO] [1634231031.205040, 35.441000]: Number of targets 8 / distance to curent goal 2.54 / collission number 0
[INFO] [1634231031.461492, 35.637000]: Number of targets 8 / distance to curent goal 2.52 / collission number 0
[INFO] [1634231031.722471, 35.835000]: Number of targets 8 / distance to curent goal 2.49 / collission number 0
[INFO] [1634231031.987846, 36.043000]: Number of targets 8 / distance to curent goal 2.45 / collission number 0
[INFO] [1634231032.247670, 36.238000]: Number of targets 8 / distance to curent goal 2.41 / collission number 0
[INFO] [1634231032.506442, 36.434000]: Number of targets 8 / distance to curent goal 2.37 / collission number 0
[INFO] [1634231032.772242, 36.637000]: Number of targets 8 / distance to curent goal 2.32 / collission number 0
[INFO] [1634231033.019692, 36.837000]: Number of targets 8 / distance to curent goal 2.29 / collission number 0
[INFO] [1634231033.282106, 37.035000]: Number of targets 8 / distance to curent goal 2.24 / collission number 0
[INFO] [1634231033.554809, 37.243000]: Number of targets 8 / distance to curent goal 2.2 / collission number 0
[INFO] [1634231033.812371, 37.443000]: Number of targets 8 / distance to curent goal 2.15 / collission number 0
[INFO] [1634231034.069344, 37.638000]: Number of targets 8 / distance to curent goal 2.11 / collission number 0
[INFO] [1634231034.330609, 37.832000]: Number of targets 8 / distance to curent goal 2.07 / collission number 0
[INFO] [1634231034.603730, 38.036000]: Number of targets 8 / distance to curent goal 2.02 / collission number 0
[INFO] [1634231034.852736, 38.239000]: Number of targets 8 / distance to curent goal 1.98 / collission number 0
[INFO] [1634231035.096418, 38.435000]: Number of targets 8 / distance to curent goal 1.94 / collission number 0
[INFO] [1634231035.364596, 38.640000]: Number of targets 8 / distance to curent goal 1.89 / collission number 0
[INFO] [1634231035.620019, 38.833000]: Number of targets 8 / distance to curent goal 1.85 / collission number 0
[INFO] [1634231035.878173, 39.034000]: Number of targets 8 / distance to curent goal 1.81 / collission number 0
[INFO] [1634231036.144834, 39.239000]: Number of targets 8 / distance to curent goal 1.77 / collission number 0
[INFO] [1634231036.403641, 39.439000]: Number of targets 8 / distance to curent goal 1.73 / collission number 0
[INFO] [1634231036.660609, 39.640000]: Number of targets 8 / distance to curent goal 1.69 / collission number 0
[INFO] [1634231036.918688, 39.835000]: Number of targets 8 / distance to curent goal 1.65 / collission number 0
[INFO] [1634231037.203056, 40.041000]: Number of targets 8 / distance to curent goal 1.61 / collission number 0
[INFO] [1634231037.451051, 40.233000]: Number of targets 8 / distance to curent goal 1.58 / collission number 0
[INFO] [1634231037.719397, 40.436000]: Number of targets 8 / distance to curent goal 1.54 / collission number 0
[INFO] [1634231037.972994, 40.641000]: Number of targets 8 / distance to curent goal 1.5 / collission number 0
[INFO] [1634231038.246848, 40.843000]: Number of targets 8 / distance to curent goal 1.46 / collission number 0
[INFO] [1634231038.517649, 41.048000]: Number of targets 8 / distance to curent goal 1.42 / collission number 0
[INFO] [1634231038.790256, 41.241000]: Number of targets 8 / distance to curent goal 1.39 / collission number 0
[INFO] [1634231039.043818, 41.439000]: Number of targets 8 / distance to curent goal 1.35 / collission number 0
[INFO] [1634231039.310464, 41.637000]: Number of targets 8 / distance to curent goal 1.32 / collission number 0
[INFO] [1634231039.591348, 41.850000]: Number of targets 8 / distance to curent goal 1.28 / collission number 0
[INFO] [1634231039.827972, 42.034000]: Number of targets 8 / distance to curent goal 1.25 / collission number 0
[INFO] [1634231040.102942, 42.242000]: Number of targets 8 / distance to curent goal 1.21 / collission number 0
[INFO] [1634231040.359935, 42.437000]: Number of targets 8 / distance to curent goal 1.18 / collission number 0
[INFO] [1634231040.626896, 42.644000]: Number of targets 8 / distance to curent goal 1.14 / collission number 0
[INFO] [1634231040.871465, 42.837000]: Number of targets 8 / distance to curent goal 1.11 / collission number 0
[INFO] [1634231041.123068, 43.038000]: Number of targets 8 / distance to curent goal 1.07 / collission number 0
[INFO] [1634231041.378920, 43.239000]: Number of targets 8 / distance to curent goal 1.03 / collission number 0
[INFO] [1634231041.651295, 43.442000]: Number of targets 8 / distance to curent goal 0.99 / collission number 0
[INFO] [1634231041.892533, 43.642000]: Number of targets 8 / distance to curent goal 0.96 / collission number 0
[INFO] [1634231042.164145, 43.842000]: Number of targets 8 / distance to curent goal 0.92 / collission number 0
[INFO] [1634231042.439317, 44.036000]: Number of targets 8 / distance to curent goal 0.88 / collission number 0
[INFO] [1634231042.712901, 44.241000]: Number of targets 8 / distance to curent goal 0.84 / collission number 0
[INFO] [1634231042.962979, 44.436000]: Number of targets 8 / distance to curent goal 0.8 / collission number 0
[INFO] [1634231043.223469, 44.640000]: Number of targets 8 / distance to curent goal 0.75 / collission number 0
[INFO] [1634231043.494050, 44.842000]: Number of targets 8 / distance to curent goal 0.71 / collission number 0
[INFO] [1634231043.780087, 45.067000]: Number of targets 8 / distance to curent goal 0.67 / collission number 0
[INFO] [1634231044.005777, 45.233000]: Number of targets 8 / distance to curent goal 0.63 / collission number 0
[INFO] [1634231044.269571, 45.439000]: Number of targets 8 / distance to curent goal 0.59 / collission number 0
[INFO] [1634231044.519205, 45.633000]: Number of targets 8 / distance to curent goal 0.54 / collission number 0
[INFO] [1634231044.801792, 45.846000]: Number of targets 8 / distance to curent goal 0.5 / collission number 0
[INFO] [1634231045.046670, 46.038000]: Number of targets 8 / distance to curent goal 0.45 / collission number 0
[INFO] [1634231045.335845, 46.245000]: Number of targets 8 / distance to curent goal 0.41 / collission number 0
[INFO] [1634231045.608395, 46.442000]: Number of targets 8 / distance to curent goal 0.37 / collission number 0
[INFO] [1634231045.868114, 46.637000]: Number of targets 8 / distance to curent goal 0.33 / collission number 0
[INFO] [1634231046.123311, 46.838000]: Number of targets 8 / distance to curent goal 0.29 / collission number 0
[INFO] [1634231046.388910, 47.038000]: Number of targets 8 / distance to curent goal 0.25 / collission number 0
[INFO] [1634231046.652303, 47.238000]: Number of targets 8 / distance to curent goal 0.22 / collission number 0
[INFO] [1634231046.918697, 47.439000]: Goal!!
5 7
[INFO] [1634231047.938446, 48.160000]: Goal position : -1.9, 1.1
[INFO] [1634231047.940536, 48.161000]: Target position: x-> -1.9, y-> 1.1!!
[INFO] [1634231047.942317, 48.163000]: Number of targets 7 / distance to curent goal 3.86 / collission number 0
[INFO] [1634231048.051696, 48.240000]: Number of targets 7 / distance to curent goal 3.87 / collission number 0
[INFO] [1634231048.321706, 48.440000]: Number of targets 7 / distance to curent goal 3.88 / collission number 0
[ INFO] [1634231048.430815753, 48.519000000]: Got new plan
[INFO] [1634231048.599811, 48.643000]: Number of targets 7 / distance to curent goal 3.9 / collission number 0
[INFO] [1634231048.867307, 48.839000]: Number of targets 7 / distance to curent goal 3.9 / collission number 0
[INFO] [1634231049.118597, 49.035000]: Number of targets 7 / distance to curent goal 3.89 / collission number 0
[INFO] [1634231049.398082, 49.238000]: Number of targets 7 / distance to curent goal 3.87 / collission number 0
[INFO] [1634231049.671171, 49.437000]: Number of targets 7 / distance to curent goal 3.87 / collission number 0
[INFO] [1634231049.944352, 49.643000]: Number of targets 7 / distance to curent goal 3.87 / collission number 0
[INFO] [1634231050.200537, 49.834000]: Number of targets 7 / distance to curent goal 3.87 / collission number 0
[INFO] [1634231050.472975, 50.036000]: Number of targets 7 / distance to curent goal 3.87 / collission number 0
